Id,Ranking,Name,Release_Date,Run_Time,IMDB_Rating
348,105,"Like Stars on Earth",2009,"1h 36m",8.3
349,106,"Full Metal Jacket",1944,"1h 47m",8.2
350,107,M,1959,"2h 16m",8.3
351,108,"A Separation",2007,"2h 42m",8.3
352,109,Amélie,1987,"1h 56m",8.3
353,110,Vertigo,1931,"1h 57m",8.2
354,111,"Citizen Kane",2011,"2h 3m",8.2
355,112,"Die Hard",2001,"2h 2m",8.2
356,113,"To Kill a Mockingbird",1958,"2h 8m",8.2
357,114,"Indiana Jones and the Last Crusade",1941,"1h 59m",8.2
358,115,"The Sting",1988,"2h 12m",8.2
359,116,"I Swear",1962,"2h 9m",8.4
360,117,"A Clockwork Orange",1989,"2h 7m",8.2
361,118,Metropolis,1973,"2h 9m",8.2
362,119,1917,2025,2h,8.2
363,120,Snatch,1971,"2h 16m",8.2
364,121,"The Wolf of Wall Street",1927,"2h 30m",8.2
365,122,Downfall,2019,"1h 59m",8.2
366,123,"The Truman Show",2000,"1h 44m",8.2
367,124,"L.A. Confidential",2013,3h,8.2
368,125,Dangal,2004,"2h 36m",8.3
369,126,"Shutter Island",1998,"1h 43m",8.2
370,127,"Bicycle Thieves",1997,"2h 18m",8.2
371,128,"Green Book",2016,"2h 41m",8.2
372,129,Oppenheimer,2010,"2h 18m",8.2
373,130,"Judgment at Nuremberg",1948,"1h 29m",8.3
374,131,"Attack on Titan: The Last Attack",2018,"2h 10m",9.0
375,132,"Batman Begins",2023,3h,8.2
376,133,"Project Hail Mary",1961,"2h 59m",8.2
377,134,"Jurassic Park",2024,"2h 25m",8.2
378,135,"For a Few Dollars More",2005,"2h 20m",8.2
379,136,Hamilton,2026,"2h 36m",8.3
380,137,"Taxi Driver",1993,"2h 7m",8.2
381,138,"Some Like It Hot",1965,"2h 12m",8.2
382,139,"There Will Be Blood",2020,"2h 40m",8.2
383,140,"The Kid",1976,"1h 54m",8.2
384,141,"All About Eve",1959,"2h 1m",8.2
385,142,"The Sixth Sense",2007,"2h 38m",8.2
386,143,Ran,2020,"1h 37m",8.2
387,144,Casino,1921,58m,8.2
388,145,"The Thing",1950,"2h 18m",8.2
389,146,"No Country for Old Men",1999,"1h 47m",8.2
390,147,Prisoners,1985,"2h 40m",8.2
391,148,"Top Gun: Maverick",1995,"2h 58m",8.2
392,149,"Kill Bill: Vol. 1",1982,"1h 49m",8.2
393,150,"Pan's Labyrinth",2007,"2h 2m",8.2
394,151,Unforgiven,2013,"2h 33m",8.2
395,152,"A Beautiful Mind",2022,"2h 10m",8.2
396,153,"The Treasure of the Sierra Madre",2003,"1h 51m",8.2
397,154,"Finding Nemo",2006,"1h 58m",8.2
398,155,Klaus,1992,"2h 10m",8.2
399,156,Yojimbo,2001,"2h 15m",8.2
400,157,"The Great Escape",2004,"1h 59m",8.2
401,158,"Demon Slayer: Kimetsu No Yaiba Infinity Castle",1948,"2h 6m",8.4
402,159,"Monty Python and the Holy Grail",2003,"1h 40m",8.1
403,160,"Dial M for Murder",2019,"1h 36m",8.1
404,161,"The Secret in Their Eyes",1961,"1h 50m",8.2
405,162,"Gone with the Wind",1980,"2h 4m",8.2
406,163,"Lock, Stock and Two Smoking Barrels",1963,"2h 52m",8.1
407,164,Chinatown,2025,"2h 35m",8.1
408,165,"The Best of Youth",1975,"1h 31m",8.4
409,166,"V for Vendetta",1954,"1h 45m",8.1
410,167,"Catch Me If You Can",2009,"2h 9m",8.1
411,168,"Inside Out",1939,"3h 58m",8.1
412,169,Trainspotting,1998,"1h 47m",8.1
413,170,"Three Billboards Outside Ebbing, Missouri",1974,"2h 10m",8.1
414,171,Rashomon,2003,"6h 14m",8.1
415,172,"Dead Poets Society",2005,"2h 12m",8.1
416,173,"The Bridge on the River Kwai",2002,"2h 21m",8.1
417,174,"Harry Potter and the Deathly Hallows: Part 2",2015,"1h 35m",8.1
418,175,"The Wild Robot",1996,"1h 33m",8.2
419,176,"Barry Lyndon",2017,"1h 55m",8.1
420,177,Ben-Hur,1950,"1h 28m",8.1
421,178,Warrior,1989,"2h 8m",8.1
422,179,Fargo,1957,"2h 41m",8.1
423,180,"Hacksaw Ridge",2011,"2h 10m",8.1
424,181,"Million Dollar Baby",2024,"1h 42m",8.1
425,182,"Mad Max: Fury Road",1975,"3h 5m",8.1
426,183,"Children of Heaven",1959,"3h 32m",8.2
427,184,"My Neighbour Totoro",2011,"2h 20m",8.1
428,185,"Raging Bull",1996,"1h 38m",8.1
429,186,Ratatouille,2016,"2h 19m",8.1
430,187,"Gran Torino",2004,"2h 12m",8.1
431,188,"12 Years a Slave",2015,2h,8.1
432,189,"The Grand Budapest Hotel",1997,"1h 29m",8.1
433,190,"Memories of Murder",1988,"1h 26m",8.1
434,191,"How to Train Your Dragon",1980,"2h 9m",8.1
435,192,"Before Sunrise",2007,"1h 51m",8.1
436,193,"Blade Runner",2008,"1h 56m",8.1
437,194,"Monsters, Inc.",2013,"2h 14m",8.1
438,195,"Gone Girl",2014,"1h 39m",8.1
439,196,"Spider-Man: No Way Home",2003,"2h 11m",8.1
440,197,Jaws,2010,"1h 38m",8.1
441,198,"Le Mans '66",1995,"1h 41m",8.1
442,199,"In the Name of the Father",1982,"1h 57m",8.1
443,200,"Wild Tales",2001,"1h 32m",8.1
444,201,"The Gold Rush",2014,"2h 29m",8.1
445,202,"Sherlock Jr.",2021,"2h 28m",8.1
446,203,"Mary and Max",1975,"2h 4m",8.1
447,204,"The Chaos Class Failed the Class",2019,"2h 32m",8.4
448,205,"The Deer Hunter",1993,"2h 13m",8.1
449,206,"The Wages of Fear",2014,"2h 2m",8.1
450,207,"The General",1925,"1h 35m",8.1
451,208,Logan,1924,45m,8.1
452,209,Rocky,2009,"1h 32m",8.1
453,210,"A Silent Voice: The Movie",1975,"1h 35m",8.2
454,211,"Pirates of the Caribbean: The Curse of the Black Pearl",1978,"3h 3m",8.1
455,212,"Chainsaw Man - The Movie: Reze Arc",1953,"2h 36m",8.3
456,213,"Mr. Smith Goes to Washington",1926,"1h 18m",8.1
457,214,"Tokyo Story",2017,"2h 17m",8.1
458,215,"La haine",1976,2h,8.1
459,216,Spotlight,2016,"2h 10m",8.1
460,217,"On the Waterfront",2003,"2h 23m",8.1
461,218,"The Sound of Music",2025,"1h 40m",8.1
462,219,"Wild Strawberries",1939,"2h 9m",8.1
463,220,"Jai Bhim",1953,"2h 17m",8.6
464,221,"The Terminator",1995,"1h 38m",8.1
465,222,Maharaja,2015,"2h 9m",8.3
466,223,"The Third Man",1954,"1h 48m",8.1
467,224,"The Best Years of Our Lives",1965,"2h 54m",8.1
468,225,"The Big Lebowski",1957,"1h 32m",8.1
469,226,"Before Sunset",2021,"2h 44m",8.1
470,227,Room,1984,"1h 47m",8.1
471,228,"Hachi: A Dog's Tale",2024,"2h 21m",8.1
